zone_id,zone_nom,taux_utilisation,nb_pylones_satures,nb_pylones_total,anomaly_score,statut,timestamp
26,Tunis Les Lacs,5.62,0,3,1.0000,NORMAL,2026-04-15T22:26:28.04477
35,Hammamet,7.33,0,3,1.0000,NORMAL,2026-04-15T22:26:35.653194
25,Tunis La Marsa,6.97,0,3,1.0000,NORMAL,2026-04-15T22:26:42.323495
29,Ariana Centre,8.47,0,3,0.8980,NORMAL,2026-04-15T22:26:49.467999
48,Mahdia Centre,8.01,0,2,1.0000,NORMAL,2026-04-15T22:26:59.122038
33,Manouba Centre,4.07,0,2,1.0000,NORMAL,2026-04-15T22:27:07.633636
44,Sousse Centre,7.87,0,3,1.0000,NORMAL,2026-04-15T22:27:15.293555
30,Ariana Riadh,4.42,0,2,1.0000,NORMAL,2026-04-15T22:27:22.825202
27,Tunis El Menzah,3.67,0,2,1.0000,NORMAL,2026-04-15T22:27:31.119207
47,Monastir Aéroport,8.19,0,2,1.0000,NORMAL,2026-04-15T22:27:41.426303
36,Kelibia,5.99,0,2,1.0000,NORMAL,2026-04-15T22:27:48.668285
45,Sousse Khezama,5.17,0,2,1.0000,NORMAL,2026-04-15T22:27:54.876906
37,Zaghouan,4.51,0,2,0.8450,NORMAL,2026-04-15T22:28:01.329414
34,Nabeul Centre,4.63,0,2,1.0000,NORMAL,2026-04-15T22:28:07.836829
38,Bizerte Centre,6.48,0,3,0.8640,NORMAL,2026-04-15T22:28:14.982881
31,Ben Arous Centre,5.66,0,2,1.0000,NORMAL,2026-04-15T22:28:21.664846
41,Jendouba Centre,6.13,0,2,1.0000,NORMAL,2026-04-15T22:28:28.398043
40,Béja Centre,11.93,1,2,1.0000,ATTENTION,2026-04-15T22:28:35.003495
24,Tunis Centre,7.36,0,4,1.0000,NORMAL,2026-04-15T22:28:41.472393
32,Ben Arous Rades,5.55,0,2,1.0000,NORMAL,2026-04-15T22:28:52.576327
